2022-10-25 16:31:09,400 | INFO | Threshold of 18.00 provides Large bucket size: 18, Small Bucket size: 46, Extra Bucket size: 9
2022-10-25 17:29:12,748 | INFO | Training Finished.
2022-10-25 17:29:12,749 | INFO | Training Accuracy: 0.879, Training MCC: 0.767, Validation Accuracy: 0.667, Validation MCC: 0.339, Fold: 2
2022-10-25 17:29:12,749 | INFO | Training:
2022-10-25 17:29:12,751 | INFO | Training Finished.
2022-10-25 17:29:12,752 | INFO | Training Accuracy: 0.897, Training MCC: 0.798, Validation Accuracy: 0.667, Validation MCC: 0.373, Fold: 3
2022-10-25 17:29:12,752 | INFO | Training:
2022-10-25 17:29:12,754 | INFO | Training Finished.
2022-10-25 17:29:12,755 | INFO | Training Accuracy: 0.862, Training MCC: 0.744, Validation Accuracy: 0.600, Validation MCC: 0.000, Fold: 4
2022-10-25 17:29:12,755 | INFO | Training:
2022-10-25 17:29:12,756 | INFO | Training Finished.
2022-10-25 17:29:12,758 | INFO | Training Accuracy: 0.879, Training MCC: 0.771, Validation Accuracy: 0.667, Validation MCC: 0.311, Fold: 5
2022-10-25 17:29:12,758 | INFO | AVG Training Accuracy: 0.872, AVG Training MCC: 0.755, AVG Validation Accuracy: 0.680, AVG Validation MCC: 0.332

2022-10-25 17:29:12,759 | INFO | PCA Starting
2022-10-25 17:29:12,798 | INFO | Selecting 44 principal components making up 95% of the variance.

2022-10-25 17:29:12,798 | INFO | PCA Finished
2022-10-25 17:29:12,799 | INFO | GridSearchCV Starting
2022-10-25 17:29:14,134 | INFO | Best parameter set: {'C': 56, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}
2022-10-25 17:29:14,134 | INFO | -------------------------

2022-10-25 17:29:14,134 | INFO | Train MCC Score: 0.814.  StDev for Train MCC: 0.022.  Test MCC Score: 0.390.  StDev for Test MCC: 0.127.

2022-10-25 17:29:14,135 | INFO | Training:
2022-10-25 17:29:14,136 | INFO | Training Finished.
2022-10-25 17:29:14,138 | INFO | Training Accuracy: 0.897, Training MCC: 0.807, Validation Accuracy: 0.733, Validation MCC: 0.498, Fold: 1
2022-10-25 17:29:14,138 | INFO | Training:
2022-10-25 17:29:14,139 | INFO | Training Finished.
2022-10-25 17:29:14,141 | INFO | Training Accuracy: 0.897, Training MCC: 0.801, Validation Accuracy: 0.667, Validation MCC: 0.339, Fold: 2
2022-10-25 17:29:14,141 | INFO | Training:
2022-10-25 17:29:14,143 | INFO | Training Finished.
2022-10-25 17:29:14,145 | INFO | Training Accuracy: 0.897, Training MCC: 0.798, Validation Accuracy: 0.667, Validation MCC: 0.373, Fold: 3
2022-10-25 17:29:14,145 | INFO | Training:
2022-10-25 17:29:14,146 | INFO | Training Finished.
2022-10-25 17:29:14,148 | INFO | Training Accuracy: 0.879, Training MCC: 0.775, Validation Accuracy: 0.600, Validation MCC: 0.085, Fold: 4
2022-10-25 17:29:14,148 | INFO | Training:
2022-10-25 17:29:14,149 | INFO | Training Finished.
2022-10-25 17:29:14,151 | INFO | Training Accuracy: 0.897, Training MCC: 0.804, Validation Accuracy: 0.667, Validation MCC: 0.339, Fold: 5
2022-10-25 17:29:14,151 | INFO | AVG Training Accuracy: 0.893, AVG Training MCC: 0.797, AVG Validation Accuracy: 0.667, AVG Validation MCC: 0.327

2022-10-25 17:29:14,152 | INFO | PCA Starting
2022-10-25 17:29:14,207 | INFO | Selecting 73 principal components making up 100% of the variance.

2022-10-25 17:29:14,207 | INFO | PCA Finished
2022-10-25 17:29:14,207 | INFO | GridSearchCV Starting
2022-10-25 17:29:15,694 | INFO | Best parameter set: {'C': 61, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}
2022-10-25 17:29:15,695 | INFO | -------------------------

2022-10-25 17:29:15,695 | INFO | Train MCC Score: 0.858.  StDev for Train MCC: 0.014.  Test MCC Score: 0.396.  StDev for Test MCC: 0.124.

2022-10-25 17:29:15,695 | INFO | Training:
2022-10-25 17:29:15,697 | INFO | Training Finished.
2022-10-25 17:29:15,699 | INFO | Training Accuracy: 0.897, Training MCC: 0.807, Validation Accuracy: 0.733, Validation MCC: 0.498, Fold: 1
2022-10-25 17:29:15,699 | INFO | Training:
2022-10-25 17:29:15,701 | INFO | Training Finished.
2022-10-25 17:29:15,703 | INFO | Training Accuracy: 0.948, Training MCC: 0.901, Validation Accuracy: 0.667, Validation MCC: 0.339, Fold: 2
2022-10-25 17:29:15,703 | INFO | Training:
2022-10-25 17:29:15,705 | INFO | Training Finished.
2022-10-25 17:29:15,707 | INFO | Training Accuracy: 0.931, Training MCC: 0.866, Validation Accuracy: 0.667, Validation MCC: 0.330, Fold: 3
2022-10-25 17:29:15,707 | INFO | Training:
2022-10-25 17:29:15,709 | INFO | Training Finished.
2022-10-25 17:29:15,711 | INFO | Training Accuracy: 0.914, Training MCC: 0.839, Validation Accuracy: 0.600, Validation MCC: 0.000, Fold: 4
2022-10-25 17:29:15,712 | INFO | Training:
2022-10-25 17:29:15,713 | INFO | Training Finished.
2022-10-25 17:29:15,715 | INFO | Training Accuracy: 0.914, Training MCC: 0.836, Validation Accuracy: 0.667, Validation MCC: 0.311, Fold: 5
2022-10-25 17:29:15,715 | INFO | AVG Training Accuracy: 0.921, AVG Training MCC: 0.850, AVG Validation Accuracy: 0.667, AVG Validation MCC: 0.296

2022-10-25 17:29:15,722 | INFO | XGBoost Classifier Results:

2022-10-25 17:29:15,723 | INFO | GridSearchCV Starting
2022-10-25 17:49:56,687 | INFO | Best parameter set: {'alpha': 0.8, 'gamma': 1, 'lambda': 1, 'max_depth': 2, 'n_estimators': 5, 'subsample': 0.5}
2022-10-25 17:49:56,687 | INFO | -------------------------

2022-10-25 17:49:56,694 | INFO | Train MCC Score: 0.802.  StDev for Train MCC: 0.056.  Test MCC Score: 0.404.  StDev for Test MCC: 0.257.

2022-10-25 17:49:56,696 | INFO | Training:
2022-10-25 17:49:56,726 | INFO | Training Finished.
2022-10-25 17:49:56,736 | INFO | Training Accuracy: 0.897, Training MCC: 0.804, Validation Accuracy: 0.733, Validation MCC: 0.484, Fold: 1
2022-10-25 17:49:56,736 | INFO | Training:
2022-10-25 17:49:56,762 | INFO | Training Finished.
2022-10-25 17:49:56,771 | INFO | Training Accuracy: 0.793, Training MCC: 0.574, Validation Accuracy: 0.667, Validation MCC: 0.339, Fold: 2
2022-10-25 17:49:56,771 | INFO | Training:
2022-10-25 17:49:56,805 | INFO | Training Finished.
2022-10-25 17:49:56,814 | INFO | Training Accuracy: 0.862, Training MCC: 0.726, Validation Accuracy: 0.467, Validation MCC: -0.037, Fold: 3
2022-10-25 17:49:56,815 | INFO | Training:
2022-10-25 17:49:56,843 | INFO | Training Finished.
2022-10-25 17:49:56,853 | INFO | Training Accuracy: 0.828, Training MCC: 0.652, Validation Accuracy: 0.733, Validation MCC: 0.476, Fold: 4
2022-10-25 17:49:56,853 | INFO | Training:
2022-10-25 17:49:56,885 | INFO | Training Finished.
2022-10-25 17:49:56,894 | INFO | Training Accuracy: 0.879, Training MCC: 0.763, Validation Accuracy: 0.600, Validation MCC: 0.085, Fold: 5
2022-10-25 17:49:56,894 | INFO | AVG Training Accuracy: 0.852, AVG Training MCC: 0.704, AVG Validation Accuracy: 0.640, AVG Validation MCC: 0.270

2022-10-25 17:49:56,895 | INFO | Forward Selection Starting
2022-10-25 19:56:52,730 | INFO | Forward Selection Finished
2022-10-25 19:56:52,731 | INFO | SFS only results:

2022-10-25 19:56:52,731 | INFO | GridSearchCV Starting
2022-10-25 20:07:20,256 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 1, 'lambda': 1, 'max_depth': 2, 'n_estimators': 5, 'subsample': 0.5}
2022-10-25 20:07:20,256 | INFO | -------------------------

2022-10-25 20:07:20,264 | INFO | Train MCC Score: 0.598.  StDev for Train MCC: 0.080.  Test MCC Score: 0.550.  StDev for Test MCC: 0.216.

2022-10-25 20:07:20,266 | INFO | Training:
2022-10-25 20:07:20,285 | INFO | Training Finished.
2022-10-25 20:07:20,291 | INFO | Training Accuracy: 0.759, Training MCC: 0.507, Validation Accuracy: 0.667, Validation MCC: 0.330, Fold: 1
2022-10-25 20:07:20,291 | INFO | Training:
2022-10-25 20:07:20,316 | INFO | Training Finished.
