,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
716,0.0014997959136962891,9.488939639154626e-07,0.0011002063751220704,0.000199843619208277,86,0.91,scale,"{'C': 86, 'epsilon': 0.91, 'gamma': 'scale'}",-3.2613170868236367,-1.4524769261490245,-1.2155698362553449,-1.5436566711368689,-4.094713175342784,-2.3135467391415316,1.1498302243658451,720,-0.7292028832915228,-0.8053647578165756,-0.7498265761230859,-0.7993936682716429,-0.7113963429617497,-0.7590368456929155,0.03746854800758447
717,0.0016007423400878906,0.00020003759245177774,0.0010991573333740234,0.0001984610573544174,86,0.91,auto,"{'C': 86, 'epsilon': 0.91, 'gamma': 'auto'}",-2.2145326552339064,-0.9828091653544775,-0.8698813241027417,-0.9198312854281375,-2.374665112708063,-1.472343908565465,0.6742259740385061,352,-0.9575014171184554,-1.155276928709142,-1.108758678034378,-1.1306121454973148,-0.8570680472570963,-1.0418434433232773,0.11530846552152084
718,0.0017230987548828125,0.0002746571848770976,0.007976579666137695,0.01302016573688278,86,0.9600000000000001,scale,"{'C': 86, 'epsilon': 0.9600000000000001, 'gamma': 'scale'}",-3.266204820503535,-1.4492998166514146,-1.196085371890825,-1.5585182894424772,-4.118775152243309,-2.3177766901463124,1.1603472059011644,729,-0.7636175861919391,-0.830205484835594,-0.7870289352334598,-0.8318480497730677,-0.7367970155526203,-0.7898994143173362,0.03715671199546969
719,0.0016004085540771485,0.00020031977255948613,0.0010994911193847657,0.00020020152182660705,86,0.9600000000000001,auto,"{'C': 86, 'epsilon': 0.9600000000000001, 'gamma': 'auto'}",-2.2591624781846513,-1.0005711239169175,-0.8819786141342428,-0.9159014263627696,-2.4406690836204175,-1.4996565452437998,0.6976727288256261,358,-0.966609819965848,-1.1655823910997083,-1.1165894134065837,-1.142968344793902,-0.8800882313168846,-1.0543676401165853,0.11150345475014614
720,0.0021001815795898436,0.00020065369941339048,0.001200246810913086,0.0002445627731402866,91,0.01,scale,"{'C': 91, 'epsilon': 0.01, 'gamma': 'scale'}",-3.199027622744139,-1.8338228652636728,-1.5900833886212065,-1.912047318285137,-3.4864238667631215,-2.4042810123354554,0.7788824827566573,797,-0.26069429813901446,-0.3852362210259709,-0.2200518607633911,-0.3879587420397568,-0.3641634304705055,-0.32362091048772773,0.06966463319444478
721,0.003726768493652344,0.003708149484587048,0.0011728286743164062,0.0002169340976458045,91,0.01,auto,"{'C': 91, 'epsilon': 0.01, 'gamma': 'auto'}",-1.4417538321860086,-0.8860338073945385,-1.0327312762237693,-1.0247407387417409,-2.342901101469497,-1.3456321512031109,0.5321453993987492,160,-0.9055768128875981,-1.0921256935057881,-1.027814577155998,-1.0757607479506708,-0.7026709406328594,-0.9607897544265829,0.1446606899301316
722,0.002200412750244141,0.00039980466623545273,0.0012997150421142577,0.00024467841164269293,91,0.060000000000000005,scale,"{'C': 91, 'epsilon': 0.060000000000000005, 'gamma': 'scale'}",-3.2084515497233115,-1.8382686898751228,-1.5752293029795736,-1.8686584592075794,-3.5199812179430183,-2.4021178439457214,0.7982533446081003,794,-0.2596542097421219,-0.38901742238686116,-0.22024002995745195,-0.38813649146636847,-0.36741960478149605,-0.3248935516668599,0.0708922235016831
723,0.006400203704833985,0.00880601054499475,0.0013994216918945313,0.0004890844976414463,91,0.060000000000000005,auto,"{'C': 91, 'epsilon': 0.060000000000000005, 'gamma': 'auto'}",-1.461704485372565,-0.8944070895816467,-1.0199046150658249,-0.9994227434452164,-2.2760615845253285,-1.3303001035981161,0.5113824003202442,112,-0.8966785829641044,-1.0905654913212224,-1.0258200345899158,-1.071726703781122,-0.7046554868212623,-0.9578892598955253,0.14356227008663636
724,0.0023999691009521486,0.0006634066329449453,0.0014005184173583984,0.0001997015082167161,91,0.11,scale,"{'C': 91, 'epsilon': 0.11, 'gamma': 'scale'}",-3.235939337201317,-1.8371422453849764,-1.5614686535009712,-1.7845611981512681,-3.556659864113509,-2.3951542596704085,0.8288845276089659,792,-0.2663110825645308,-0.3977973806709633,-0.23058674607318347,-0.3936340713024372,-0.37605861891948555,-0.33287757990612005,0.07023538590052276
725,0.002299642562866211,0.00024458091120707496,0.0012000083923339843,0.000245438715962257,91,0.11,auto,"{'C': 91, 'epsilon': 0.11, 'gamma': 'auto'}",-1.4956333963139885,-0.9256337140652676,-1.0083183273537355,-0.9891961804691376,-2.2485848866701614,-1.333473300974458,0.5008614043862867,118,-0.8992410207202964,-1.094421086325244,-1.0258368890113647,-1.0647911968116648,-0.7058855841882183,-0.9580351554113576,0.1425701274096095
726,0.0023001670837402345,0.00024481785617343996,0.0012000560760498046,0.00024423139345128227,91,0.16000000000000003,scale,"{'C': 91, 'epsilon': 0.16000000000000003, 'gamma': 'scale'}",-3.2622664418645897,-1.8137849294861166,-1.5497183457028936,-1.7885368005489202,-3.5697600835038448,-2.3968133202212725,0.8428885501535126,793,-0.27833968321790414,-0.4089852745946791,-0.25084591675344753,-0.4020528977705515,-0.3862878311751029,-0.3453023207023371,0.06687595344900897
727,0.002600288391113281,0.0012411272834426687,0.0011999130249023438,0.00024444555447479104,91,0.16000000000000003,auto,"{'C': 91, 'epsilon': 0.16000000000000003, 'gamma': 'auto'}",-1.5475695804734606,-0.8899956939441503,-0.9918330549689504,-0.9986995217283935,-2.2630029416444586,-1.3382201585518827,0.5167618088430758,134,-0.9002621395611347,-1.1008404582243876,-1.0259419647958843,-1.0579145229176237,-0.7074389783126094,-0.9584796127623278,0.14220812561243645
728,0.0016999244689941406,0.0002452825035184176,0.0014242172241210938,0.0005687025229692417,91,0.21000000000000002,scale,"{'C': 91, 'epsilon': 0.21000000000000002, 'gamma': 'scale'}",-3.2617051675418898,-1.7961902335820548,-1.535988559870942,-1.79232931656106,-3.5806499796217297,-2.3933726514355356,0.8504841237331763,791,-0.2949992534619148,-0.4235485490709776,-0.2743154446983541,-0.4165575486898242,-0.3976369074579307,-0.3614115406758003,0.0635778090817498
729,0.001975393295288086,4.916202663552334e-05,0.001200246810913086,0.0002449507608421844,91,0.21000000000000002,auto,"{'C': 91, 'epsilon': 0.21000000000000002, 'gamma': 'auto'}",-1.5946723118849075,-0.8823156506740754,-0.9791555508915042,-0.9907820593798846,-2.294027988072165,-1.3481907121805072,0.5359717902570937,167,-0.905483763223547,-1.0973556024886768,-1.0279313187060517,-1.0506742438098158,-0.7094519031614146,-0.9581793662779011,0.13959429748568222
730,0.0018996238708496095,0.00020010507562677953,0.001100015640258789,0.00020005727834303074,91,0.26,scale,"{'C': 91, 'epsilon': 0.26, 'gamma': 'scale'}",-3.2592749181328733,-1.7682186541804925,-1.5213472999671538,-1.7503338529606707,-3.5939399711310935,-2.3786229392744564,0.8665801157169372,782,-0.3169873249808266,-0.44181743628913533,-0.30038524341192335,-0.4382470125469394,-0.41129385541243557,-0.3817461745282521,0.060806704135011484
731,0.0017995357513427735,0.00024475672774858974,0.00110015869140625,0.0002001055301348254,91,0.26,auto,"{'C': 91, 'epsilon': 0.26, 'gamma': 'auto'}",-1.6501263477844395,-0.8788405277321679,-0.9703093672330938,-0.9873400874965107,-2.2652732115123118,-1.350377908351705,0.5339435549435071,172,-0.9044868887075345,-1.094097471249956,-1.0306675312669558,-1.0466022472783876,-0.7190750511059933,-0.9589858379217654,0.13534945504582624
732,0.0018001556396484374,0.0002448731567691821,0.0011001110076904296,0.00020024812651550528,91,0.31000000000000005,scale,"{'C': 91, 'epsilon': 0.31000000000000005, 'gamma': 'scale'}",-3.2563923417879317,-1.7202116811440848,-1.5076842426842916,-1.6679141552105428,-3.675459842643576,-2.3655324526940853,0.9108847180111121,772,-0.34323995032905696,-0.4667894842189572,-0.3302245748592738,-0.4659565047692028,-0.42159944198055027,-0.40556199123140824,0.05867412730906368
733,0.002199077606201172,0.000509229459860515,0.0011003971099853515,0.0002008211792405904,91,0.31000000000000005,auto,"{'C': 91, 'epsilon': 0.31000000000000005, 'gamma': 'auto'}",-1.707530639516207,-0.884082124186304,-0.9549444480763144,-0.985004148948545,-2.2373411767980924,-1.3537805075050926,0.5331981598697733,181,-0.9039521964132583,-1.0926378906073295,-1.034840781730225,-1.0407065751297977,-0.7268440535533062,-0.9597962994867834,0.13206842778256345
734,0.0020996570587158204,0.000583781230436025,0.0013004302978515624,0.00024516616687901045,91,0.36000000000000004,scale,"{'C': 91, 'epsilon': 0.36000000000000004, 'gamma': 'scale'}",-3.2513374933682577,-1.679933081409847,-1.4951506425682777,-1.591592811966737,-3.745353118014707,-2.3526734294655656,0.9501918150489462,763,-0.3717233279754653,-0.4955400727715956,-0.36359094356124505,-0.4957583874704459,-0.4379878787725162,-0.43292012211025366,0.05735358852338837
735,0.0018999099731445313,0.0001989390340146916,0.0011316776275634766,0.0001939500542878982,91,0.36000000000000004,auto,"{'C': 91, 'epsilon': 0.36000000000000004, 'gamma': 'auto'}",-1.7573725898884813,-0.8857023903475517,-0.929995478123205,-0.9872271365953025,-2.2287956553343924,-1.3578186500577867,0.5406493861149197,189,-0.9032761545695198,-1.0949657489214046,-1.0442905810766068,-1.0350906345432729,-0.7334301343261858,-0.962210650687398,0.1307565085384447
736,0.002399635314941406,0.0010670544090714766,0.0012001514434814454,0.00024551837317271735,91,0.41000000000000003,scale,"{'C': 91, 'epsilon': 0.41000000000000003, 'gamma': 'scale'}",-3.2181562988727244,-1.5497040080048068,-1.473621199979325,-1.6020000466151305,-3.8143254545915375,-2.331561401612705,0.9863327930143737,744,-0.4008538603558923,-0.5270541681721376,-0.4006981775001087,-0.517828431244562,-0.45676147544632467,-0.46063922254380507,0.054523033536397175
737,0.002100229263305664,0.000200629595553911,0.0011002063751220704,0.00019972332198137032,91,0.41000000000000003,auto,"{'C': 91, 'epsilon': 0.41000000000000003, 'gamma': 'auto'}",-1.80247945970738,-0.906873518983006,-0.9079181028136678,-0.9876554850979752,-2.2443663477767917,-1.3698585828757641,0.5524034826829872,222,-0.9035823894998195,-1.0946124801161803,-1.0491679477501954,-1.034433351659557,-0.7350609145104576,-0.9633714167072419,0.13064109097113225
