2022-09-05 08:00:14,598 | INFO | Training Accuracy: 0.914, Training MCC: 0.854, Validation Accuracy: 0.467, Validation MCC: 0.124, Fold: 4
2022-09-05 08:00:14,608 | INFO | Training Accuracy: 0.862, Training MCC: 0.771, Validation Accuracy: 0.800, Validation MCC: 0.662, Fold: 5
2022-09-05 08:00:14,610 | INFO | AVG Training Accuracy: 0.903, AVG Training MCC: 0.840, AVG Validation Accuracy: 0.533, AVG Validation MCC: 0.185

2022-09-05 08:00:14,634 | INFO | Selecting 25 principal components making up 80% of the variance.

2022-09-05 08:03:06,200 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 6, 'n_estimators': 1, 'subsample': 1}
2022-09-05 08:03:06,200 | INFO | -------------------------

2022-09-05 08:03:06,208 | INFO | Train MCC Score: 0.910.  StDev for Train MCC: 0.020.  Test MCC Score: 0.167.  StDev for Test MCC: 0.162.

2022-09-05 08:03:06,239 | INFO | Training Accuracy: 0.948, Training MCC: 0.915, Validation Accuracy: 0.600, Validation MCC: 0.316, Fold: 1
2022-09-05 08:03:06,251 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.533, Validation MCC: 0.206, Fold: 2
2022-09-05 08:03:06,262 | INFO | Training Accuracy: 0.897, Training MCC: 0.825, Validation Accuracy: 0.333, Validation MCC: -0.238, Fold: 3
2022-09-05 08:03:06,271 | INFO | Training Accuracy: 0.914, Training MCC: 0.854, Validation Accuracy: 0.467, Validation MCC: 0.124, Fold: 4
2022-09-05 08:03:06,281 | INFO | Training Accuracy: 0.897, Training MCC: 0.831, Validation Accuracy: 0.667, Validation MCC: 0.456, Fold: 5
2022-09-05 08:03:06,283 | INFO | AVG Training Accuracy: 0.924, AVG Training MCC: 0.874, AVG Validation Accuracy: 0.520, AVG Validation MCC: 0.173

2022-09-05 08:03:06,307 | INFO | Selecting 29 principal components making up 85% of the variance.

2022-09-05 08:06:04,908 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 5, 'n_estimators': 1, 'subsample': 1}
2022-09-05 08:06:04,908 | INFO | -------------------------

2022-09-05 08:06:04,916 | INFO | Train MCC Score: 0.921.  StDev for Train MCC: 0.027.  Test MCC Score: 0.278.  StDev for Test MCC: 0.204.

2022-09-05 08:06:04,946 | INFO | Training Accuracy: 0.931, Training MCC: 0.885, Validation Accuracy: 0.533, Validation MCC: 0.200, Fold: 1
2022-09-05 08:06:04,960 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.400, Validation MCC: 0.050, Fold: 2
2022-09-05 08:06:04,973 | INFO | Training Accuracy: 0.931, Training MCC: 0.885, Validation Accuracy: 0.400, Validation MCC: -0.121, Fold: 3
2022-09-05 08:06:04,984 | INFO | Training Accuracy: 0.931, Training MCC: 0.885, Validation Accuracy: 0.467, Validation MCC: 0.085, Fold: 4
2022-09-05 08:06:04,994 | INFO | Training Accuracy: 0.914, Training MCC: 0.856, Validation Accuracy: 0.800, Validation MCC: 0.662, Fold: 5
2022-09-05 08:06:04,995 | INFO | AVG Training Accuracy: 0.934, AVG Training MCC: 0.891, AVG Validation Accuracy: 0.520, AVG Validation MCC: 0.175

2022-09-05 08:06:05,021 | INFO | Selecting 33 principal components making up 90% of the variance.

2022-09-05 08:09:09,860 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 2, 'n_estimators': 1, 'subsample': 1}
2022-09-05 08:09:09,860 | INFO | -------------------------

2022-09-05 08:09:09,869 | INFO | Train MCC Score: 0.749.  StDev for Train MCC: 0.053.  Test MCC Score: 0.233.  StDev for Test MCC: 0.226.

2022-09-05 08:09:09,920 | INFO | Training Accuracy: 0.810, Training MCC: 0.677, Validation Accuracy: 0.533, Validation MCC: 0.171, Fold: 1
2022-09-05 08:09:09,931 | INFO | Training Accuracy: 0.862, Training MCC: 0.775, Validation Accuracy: 0.267, Validation MCC: -0.141, Fold: 2
2022-09-05 08:09:09,941 | INFO | Training Accuracy: 0.845, Training MCC: 0.744, Validation Accuracy: 0.400, Validation MCC: 0.036, Fold: 3
2022-09-05 08:09:09,951 | INFO | Training Accuracy: 0.862, Training MCC: 0.770, Validation Accuracy: 0.333, Validation MCC: -0.085, Fold: 4
2022-09-05 08:09:09,963 | INFO | Training Accuracy: 0.724, Training MCC: 0.528, Validation Accuracy: 0.733, Validation MCC: 0.569, Fold: 5
2022-09-05 08:09:09,965 | INFO | AVG Training Accuracy: 0.821, AVG Training MCC: 0.699, AVG Validation Accuracy: 0.453, AVG Validation MCC: 0.110

2022-09-05 08:09:09,988 | INFO | Selecting 39 principal components making up 95% of the variance.

2022-09-05 08:12:16,614 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 5, 'n_estimators': 3, 'subsample': 1}
2022-09-05 08:12:16,614 | INFO | -------------------------

2022-09-05 08:12:16,623 | INFO | Train MCC Score: 0.994.  StDev for Train MCC: 0.011.  Test MCC Score: 0.197.  StDev for Test MCC: 0.165.

2022-09-05 08:12:16,654 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.533, Validation MCC: 0.223, Fold: 1
2022-09-05 08:12:16,679 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.333, Validation MCC: -0.051, Fold: 2
2022-09-05 08:12:16,691 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.400, Validation MCC: -0.101, Fold: 3
2022-09-05 08:12:16,702 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.333, Validation MCC: -0.171, Fold: 4
2022-09-05 08:12:16,713 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.667, Validation MCC: 0.449, Fold: 5
2022-09-05 08:12:16,715 | INFO | AVG Training Accuracy: 1.000, AVG Training MCC: 1.000, AVG Validation Accuracy: 0.453, AVG Validation MCC: 0.070

2022-09-05 08:12:16,739 | INFO | Selecting 73 principal components making up 100% of the variance.

2022-09-05 08:16:22,976 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 3, 'lambda': 1, 'max_depth': 2, 'n_estimators': 2, 'subsample': 0.5}
2022-09-05 08:16:22,977 | INFO | -------------------------

2022-09-05 08:16:22,985 | INFO | Train MCC Score: 0.439.  StDev for Train MCC: 0.058.  Test MCC Score: 0.158.  StDev for Test MCC: 0.250.

2022-09-05 08:16:23,019 | INFO | Training Accuracy: 0.552, Training MCC: 0.200, Validation Accuracy: 0.467, Validation MCC: 0.030, Fold: 1
2022-09-05 08:16:23,039 | INFO | Training Accuracy: 0.603, Training MCC: 0.296, Validation Accuracy: 0.400, Validation MCC: -0.101, Fold: 2
2022-09-05 08:16:23,050 | INFO | Training Accuracy: 0.724, Training MCC: 0.524, Validation Accuracy: 0.400, Validation MCC: -0.074, Fold: 3
2022-09-05 08:16:23,060 | INFO | Training Accuracy: 0.741, Training MCC: 0.575, Validation Accuracy: 0.667, Validation MCC: 0.421, Fold: 4
2022-09-05 08:16:23,071 | INFO | Training Accuracy: 0.638, Training MCC: 0.365, Validation Accuracy: 0.667, Validation MCC: 0.456, Fold: 5
2022-09-05 08:16:23,073 | INFO | AVG Training Accuracy: 0.652, AVG Training MCC: 0.392, AVG Validation Accuracy: 0.520, AVG Validation MCC: 0.146

2022-09-05 08:16:23,095 | INFO | Random Forest Classifier Results:

2022-09-05 08:17:41,316 | INFO | Best parameter set: {'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 13}
2022-09-05 08:17:41,316 | INFO | -------------------------

2022-09-05 08:17:41,318 | INFO | Train MCC Score: 0.600.  StDev for Train MCC: 0.115.  Test MCC Score: 0.351.  StDev for Test MCC: 0.305.

2022-09-05 08:17:41,347 | INFO | Training Accuracy: 0.690, Training MCC: 0.474, Validation Accuracy: 0.533, Validation MCC: 0.182, Fold: 1
2022-09-05 08:17:41,376 | INFO | Training Accuracy: 0.759, Training MCC: 0.587, Validation Accuracy: 0.533, Validation MCC: 0.186, Fold: 2
2022-09-05 08:17:41,401 | INFO | Training Accuracy: 0.776, Training MCC: 0.618, Validation Accuracy: 0.467, Validation MCC: 0.057, Fold: 3
2022-09-05 08:17:41,426 | INFO | Training Accuracy: 0.776, Training MCC: 0.616, Validation Accuracy: 0.467, Validation MCC: 0.086, Fold: 4
2022-09-05 08:17:41,451 | INFO | Training Accuracy: 0.759, Training MCC: 0.593, Validation Accuracy: 0.667, Validation MCC: 0.472, Fold: 5
2022-09-05 08:17:41,452 | INFO | AVG Training Accuracy: 0.752, AVG Training MCC: 0.578, AVG Validation Accuracy: 0.533, AVG Validation MCC: 0.196

2022-09-05 08:54:05,696 | INFO | SFS only results:

2022-09-05 08:54:46,797 | INFO | Best parameter set: {'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 13}
2022-09-05 08:54:46,798 | INFO | -------------------------

2022-09-05 08:54:46,800 | INFO | Train MCC Score: 0.638.  StDev for Train MCC: 0.074.  Test MCC Score: 0.372.  StDev for Test MCC: 0.175.

2022-09-05 08:54:46,816 | INFO | Training Accuracy: 0.776, Training MCC: 0.644, Validation Accuracy: 0.600, Validation MCC: 0.347, Fold: 1
2022-09-05 08:54:46,835 | INFO | Training Accuracy: 0.741, Training MCC: 0.550, Validation Accuracy: 0.400, Validation MCC: -0.074, Fold: 2
2022-09-05 08:54:46,853 | INFO | Training Accuracy: 0.810, Training MCC: 0.680, Validation Accuracy: 0.533, Validation MCC: 0.171, Fold: 3
2022-09-05 08:54:46,871 | INFO | Training Accuracy: 0.845, Training MCC: 0.739, Validation Accuracy: 0.467, Validation MCC: 0.065, Fold: 4
2022-09-05 08:54:46,888 | INFO | Training Accuracy: 0.845, Training MCC: 0.744, Validation Accuracy: 0.600, Validation MCC: 0.347, Fold: 5
2022-09-05 08:54:46,889 | INFO | AVG Training Accuracy: 0.803, AVG Training MCC: 0.672, AVG Validation Accuracy: 0.520, AVG Validation MCC: 0.171

2022-09-05 08:54:46,899 | INFO | Results after PCA:
2022-09-05 08:54:46,899 | INFO | ------------------

2022-09-05 08:54:46,910 | INFO | Selecting 23 principal components making up 75% of the variance.

2022-09-05 08:55:22,736 | INFO | Best parameter set: {'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 1.0, 'n_estimators': 1}
2022-09-05 08:55:22,736 | INFO | -------------------------

2022-09-05 08:55:22,738 | INFO | Train MCC Score: 0.572.  StDev for Train MCC: 0.042.  Test MCC Score: 0.486.  StDev for Test MCC: 0.174.

2022-09-05 08:55:22,745 | INFO | Training Accuracy: 0.655, Training MCC: 0.407, Validation Accuracy: 0.467, Validation MCC: 0.112, Fold: 1
2022-09-05 08:55:22,750 | INFO | Training Accuracy: 0.776, Training MCC: 0.631, Validation Accuracy: 0.467, Validation MCC: 0.111, Fold: 2
2022-09-05 08:55:22,755 | INFO | Training Accuracy: 0.707, Training MCC: 0.500, Validation Accuracy: 0.600, Validation MCC: 0.308, Fold: 3
2022-09-05 08:55:22,760 | INFO | Training Accuracy: 0.759, Training MCC: 0.615, Validation Accuracy: 0.533, Validation MCC: 0.274, Fold: 4
2022-09-05 08:55:22,767 | INFO | Training Accuracy: 0.724, Training MCC: 0.570, Validation Accuracy: 0.667, Validation MCC: 0.493, Fold: 5
2022-09-05 08:55:22,769 | INFO | AVG Training Accuracy: 0.724, AVG Training MCC: 0.545, AVG Validation Accuracy: 0.547, AVG Validation MCC: 0.259

2022-09-05 08:55:22,789 | INFO | Selecting 27 principal components making up 80% of the variance.

2022-09-05 08:55:58,509 | INFO | Best parameter set: {'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 1.0, 'n_estimators': 7}
2022-09-05 08:55:58,509 | INFO | -------------------------

2022-09-05 08:55:58,511 | INFO | Train MCC Score: 0.665.  StDev for Train MCC: 0.036.  Test MCC Score: 0.410.  StDev for Test MCC: 0.234.

2022-09-05 08:55:58,525 | INFO | Training Accuracy: 0.828, Training MCC: 0.706, Validation Accuracy: 0.600, Validation MCC: 0.322, Fold: 1
2022-09-05 08:55:58,538 | INFO | Training Accuracy: 0.793, Training MCC: 0.680, Validation Accuracy: 0.467, Validation MCC: 0.183, Fold: 2
2022-09-05 08:55:58,554 | INFO | Training Accuracy: 0.810, Training MCC: 0.677, Validation Accuracy: 0.400, Validation MCC: -0.086, Fold: 3
2022-09-05 08:55:58,568 | INFO | Training Accuracy: 0.741, Training MCC: 0.581, Validation Accuracy: 0.600, Validation MCC: 0.413, Fold: 4
