,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,param_lambda,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2550,0.008387374877929687,0.0031488734013865732,0.0010128021240234375,0.00031827353322979647,0.0,1,9,10,4,0.5,"{'alpha': 0.0, 'gamma': 1, 'lambda': 9, 'max_depth': 10, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
7110,0.008057689666748047,0.0034295737161975826,0.0010751247406005859,0.00048022768532996217,0.2,1,5,6,4,0.5,"{'alpha': 0.2, 'gamma': 1, 'lambda': 5, 'max_depth': 6, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
23142,0.007724332809448242,0.0023274171763795442,0.0012609481811523438,0.0008498919017845551,0.8,1,9,7,4,0.5,"{'alpha': 0.8, 'gamma': 1, 'lambda': 9, 'max_depth': 7, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
22662,0.0070645809173583984,0.0024918104930343153,0.0010571956634521484,0.0004973853952001304,0.8,1,5,6,4,0.5,"{'alpha': 0.8, 'gamma': 1, 'lambda': 5, 'max_depth': 6, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
27270,0.005980825424194336,0.0005915396942208061,0.0008606433868408204,5.3511752809490306e-05,1.0,1,1,3,4,0.5,"{'alpha': 1.0, 'gamma': 1, 'lambda': 1, 'max_depth': 3, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
27510,0.005927038192749023,0.0001465823639267327,0.0009841442108154297,0.00023211340655206495,1.0,1,1,8,4,0.5,"{'alpha': 1.0, 'gamma': 1, 'lambda': 1, 'max_depth': 8, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
2502,0.007272195816040039,0.0022412422915232973,0.0008372306823730469,4.7748902586263146e-05,0.0,1,9,9,4,0.5,"{'alpha': 0.0, 'gamma': 1, 'lambda': 9, 'max_depth': 9, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
28278,0.007006216049194336,0.002317831620542374,0.0008107662200927734,3.448643775738365e-05,1.0,1,9,6,4,0.5,"{'alpha': 1.0, 'gamma': 1, 'lambda': 9, 'max_depth': 6, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
22758,0.008224010467529297,0.0029643629808512647,0.0008359909057617188,5.47313931138231e-05,0.8,1,5,8,4,0.5,"{'alpha': 0.8, 'gamma': 1, 'lambda': 5, 'max_depth': 8, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
7206,0.012193918228149414,0.00343044232270656,0.001467132568359375,0.0007541935669049603,0.2,1,5,8,4,0.5,"{'alpha': 0.2, 'gamma': 1, 'lambda': 5, 'max_depth': 8, 'n_estimators': 4, 'subsample': 0.5}",0.12453387034667947,0.33942211665106536,0.3296342573721317,0.25053336554642197,0.8655106783875356,0.38192685766076684,0.2537360362307336,3745,0.7668672413486304,0.7332395322404621,0.699454637990666,0.7515846001619603,0.5595012113993993,0.7021294446282236,0.0747724545388797
